Country,Date of introduction,Gender(s),Target age group,Financed by,Policy
Austria,2006,M/F[155],10?12,Fully financed by national health authorities[156]ÿfor everyone age 9 to 20 years[157],Voluntary immunization
Belgium,2007,M/F[155],10?13,Fully financed by national health authorities,Mandatory; part of the national immunization schedule
Croatia,20-May-16,M/F[155],12,Fully financed by national health authorities,Voluntary immunization for women not yet sexually active
Czech Republic,,M/F[155],,,
Denmark[158],1-Jan-09,M/F[155],12,Fully financed by national health authorities,Part of the Danish Childhood Vaccination program
Finland[159],"21 November 2013 for female, 20 May 2020 for male[160]",M/F[155],11?12,Fully financed by national health authorities,Part of the Finnish National Vaccination program
France[161],11-Jul-07,F,14?23,Financed 65% by national health authorities,Voluntary immunization for women not yet sexually active
Germany[162][163],26-Mar-07,M/F[155],9?14,Fully financed by mandatory health insurance,Voluntary immunization
Greece[164][165],12-Feb-07,F,12?26,Fully financed by national health authorities,Mandatory for all girls entering 7th grade
Hungary[166],September 2014 for females[167]ÿand 2020 for males[168],M/F[168],12-13[167],"Fully financed by national health authorities for 7th grade schoolgirls (12?13 years old).[167][169]ÿSeveral local governments have decided to pursue their own earlier initiative, thus providing the vaccine to those who are not eligible for the national vaccination programme due to their age.[169]ÿSubsidised by some local councils for 13- and 14-year-olds.",Public vaccination program[167]
Iceland,2011,,12,Fully financed by national health authorities,
Ireland[170],2009,M/F[155],12?13,Fully financed by national health authorities,Offered to males and females in the first year of secondary school. Non-mandatory. HPV vaccination was introduced to the national immunisation scheme for males in 2019.
Italy[162],26-Mar-07,M/F[155],12,Fully financed by national health authorities initially for girls only. Offered to boys from 2017.,
Latvia,2009,,12,Fully financed by national health authorities,
Liechtenstein,,M/F[155],,,
Luxembourg,2008,,12,Fully financed by national health authorities,
Netherlands,2009,M/F[155],18-Oct,Fully financed by national health authorities Offered to boys starting from February 2022[171][172],
North Macedonia,2009,F,12,Fully financed by national health authorities,Mandatory; part of the national immunization schedule
Norway,2009,M/F[155],12?13,,Part of the national immunization program
Portugal,2007,F,13,Fully financed by national health authorities,Part of the national immunization program for both boys and girls
Romania,Nov-08,F,18-Oct,Fully financed by national health authorities,"Part of the national immunization program, but not mandatory for 10?14 years old girls until August 2021, up to 18 years old as of 3 September 2021"
Slovenia,2009,,11?12,Fully financed by national health authorities,
Spain,2007,,11?14,Fully financed by national health authorities,
Sweden[173],2012[174],M/F[155],10?11,"The school-based vaccination program is fully financed by national health authorities, initially for girls only. Offered to all children in fifth grade from August 2020 (boys born in 2009 are included).[175]",All vaccinations within the national vaccination programme for children are voluntary.
Switzerland,2008,,11?14,Fully financed by national health authorities,
UK,Sep-08,M/F[155],M: 9?45,"Fully financed by national health authorities initially for girls only. Offered to boys aged 12 and 13 years from September 2019.[176]ÿThe HPV vaccine is available for free on the NHS up until a person's 25th birthday if they were eligible and missed the HPV vaccine offered in Year 8 at school,:[177]","Offered to males and females in the second year of secondary school, as well as at sexual health and HIV clinics in England. Non-mandatory."
,,,F: 9?45,girls born after 1 September 1991,
,,,,boys born after 1 September 2006,
,,,,Also fully financed by national health authorities since 2018 for men aged up to and including 45 years of age who have sex with other men (MSM) when they visit sexual health clinics and HIV clinics in England. Trans women (people who were assigned male at birth) are eligible in the same way as MSM if their risk of getting HPV is similar to the risk of MSM who are eligible for the HPV vaccine. Trans men (people who were assigned female at birth) are eligible if they have sex with other men and are aged 45 or under.[177],
